seqid,source,type,start,stop,score,strand,phase,name,length,overlap_id,overlap_ortho_id,overlap_name,overlap_strand,left_hand_id,left_hand_ortho,left_hand_name,left_hand_dist,left_hand_strand,right_hand_id,right_hand_ortho,right_hand_name,right_hand_dist,right_hand_strand,num_replicates,replicates
PfDd2_09,annotation,intersect_peaks,467022,467273,.,.,.,ipeak_1962,252,PfDd2_090015400,PF3D7_0910200,.,+,PfDd2_090015300,PF3D7_0910100,.,11138,-,PfDd2_090015500,PF3D7_0910300,.,-3033,+,1,R2
PfDd2_13,annotation,intersect_peaks,276152,276178,.,.,.,ipeak_3505,27,PfDd2_130011000,PF3D7_1305300,.,-,PfDd2_130010900,PF3D7_1305200,ApiAP2,7103,+,PfDd2_130011100,PF3D7_1305400,.,-5516,-,1,R5
PfDd2_12,annotation,intersect_peaks,873281,873581,.,.,.,ipeak_3149,301,.,.,.,,PfDd2_120026700,PF3D7_1222300,GRP94,11595,-,PfDd2_120026900,.,.,-1253,-,1,R1
PfDd2_12,annotation,intersect_peaks,869177,869458,.,.,.,ipeak_3148,282,.,.,.,,PfDd2_120026700,PF3D7_1222300,GRP94,7491,-,PfDd2_120026900,.,.,-5376,-,1,R5
PfDd2_14,annotation,intersect_peaks,2445439,2445845,.,.,.,ipeak_4518,407,PfDd2_140064900,PF3D7_1460500,.,+,PfDd2_140064800,PF3D7_1460400,UCHL3,3128,+,PfDd2_140065000,PF3D7_1460600,ISP3,-7185,+,1,R2
PfDd2_12,annotation,intersect_peaks,835829,836344,.,.,.,ipeak_3141,516,PfDd2_120025900,PF3D7_1221500,.,+,PfDd2_120025800,PF3D7_1221400,IMC1h,1562,+,PfDd2_120026000,PF3D7_1221600,.,-3043,+,1,R2
PfDd2_12,annotation,intersect_peaks,833833,834249,.,.,.,ipeak_3140,417,PfDd2_120025800,PF3D7_1221400,IMC1h,+,PfDd2_120025700,PF3D7_1221300,.,3530,-,PfDd2_120025900,PF3D7_1221500,.,-1602,+,1,R2
PfDd2_12,annotation,intersect_peaks,849391,849644,.,.,.,ipeak_3143,254,PfDd2_120026300,PF3D7_1221900,.,-,PfDd2_120026200,PF3D7_1221800,.,2471,+,PfDd2_120026400,PF3D7_1222000,.,-2914,-,1,R2
PfDd2_12,annotation,intersect_peaks,846224,846659,.,.,.,ipeak_3142,436,PfDd2_120026200,PF3D7_1221800,.,+,PfDd2_120026100,PF3D7_1221700,.,2073,+,PfDd2_120026300,PF3D7_1221900,.,-1248,-,1,R2
PfDd2_12,annotation,intersect_peaks,860409,860829,.,.,.,ipeak_3145,421,PfDd2_120026700,PF3D7_1222300,GRP94,-,PfDd2_120026600,.,.,2664,-,PfDd2_120026900,.,.,-14005,-,1,R2
PfDd2_12,annotation,intersect_peaks,859555,860002,.,.,.,ipeak_3144,448,PfDd2_120026700,PF3D7_1222300,GRP94,-,PfDd2_120026600,.,.,1810,-,PfDd2_120026900,.,.,-14832,-,1,R2
PfDd2_12,annotation,intersect_peaks,863930,864321,.,.,.,ipeak_3147,392,.,.,.,,PfDd2_120026700,PF3D7_1222300,GRP94,2244,-,PfDd2_120026900,.,.,-10513,-,1,R1
PfDd2_12,annotation,intersect_peaks,861219,861598,.,.,.,ipeak_3146,380,PfDd2_120026700,PF3D7_1222300,GRP94,-,PfDd2_120026600,.,.,3474,-,PfDd2_120026900,.,.,-13236,-,1,R2
PfDd2_11,annotation,intersect_peaks,998812,999490,.,.,.,ipeak_2779,679,PfDd2_110031100,PF3D7_1127900,.,-,PfDd2_110031000,PF3D7_1127800,.,2017,-,PfDd2_110031200,PF3D7_1128000,.,-2998,+,1,R2
PfDd2_11,annotation,intersect_peaks,975590,975868,.,.,.,ipeak_2778,279,PfDd2_110030300,PF3D7_1127100,dUTPase,-,PfDd2_110030200,PF3D7_1127000,.,2376,-,PfDd2_110030400,PF3D7_1127200,.,-2053,+,1,R2
PfDd2_04,annotation,intersect_peaks,222738,223025,.,.,.,ipeak_534,288,.,.,.,,PfDd2_040010100,.,.,131,-,PfDd2_040010200,.,.,-440,-,1,R1
PfDd2_04,annotation,intersect_peaks,223026,223479,.,.,.,ipeak_535,454,PfDd2_040010200,.,.,-,PfDd2_040010100,.,.,419,-,PfDd2_040010300,.,.,-3111,-,2,R1-R3
PfDd2_04,annotation,intersect_peaks,223480,223872,.,.,.,ipeak_536,393,PfDd2_040010200,.,.,-,PfDd2_040010100,.,.,873,-,PfDd2_040010300,.,.,-2718,-,1,R1
PfDd2_08,annotation,intersect_peaks,1107440,1107711,.,.,.,ipeak_1811,272,PfDd2_080031100,PF3D7_0825900,.,+,PfDd2_080031000,PF3D7_0825800,.,2584,+,PfDd2_080031200,PF3D7_0826000,.,-1325,+,1,R2
PfDd2_08,annotation,intersect_peaks,1100518,1100790,.,.,.,ipeak_1810,273,PfDd2_080030800,PF3D7_0825600,.,-,PfDd2_080030700,PF3D7_0825500,KRI1,385,+,PfDd2_080030900,PF3D7_0825700,.,-833,-,1,R2
PfDd2_08,annotation,intersect_peaks,1109618,1109871,.,.,.,ipeak_1813,254,PfDd2_080031200,PF3D7_0826000,.,+,PfDd2_080031100,PF3D7_0825900,.,1905,+,PfDd2_080031300,PF3D7_0826100,.,-3231,-,1,R2
PfDd2_04,annotation,intersect_peaks,224325,224411,.,.,.,ipeak_537,87,PfDd2_040010200,.,.,-,PfDd2_040010100,.,.,1718,-,PfDd2_040010300,.,.,-2179,-,1,R1
PfDd2_08,annotation,intersect_peaks,1113150,1113491,.,.,.,ipeak_1815,342,PfDd2_080031300,PF3D7_0826100,.,-,PfDd2_080031200,PF3D7_0826000,.,614,+,PfDd2_080031400,PF3D7_0826200,.,-28702,-,1,R2
PfDd2_08,annotation,intersect_peaks,1111407,1111687,.,.,.,ipeak_1814,281,PfDd2_080031200,PF3D7_0826000,.,+,PfDd2_080031100,PF3D7_0825900,.,3694,+,PfDd2_080031300,PF3D7_0826100,.,-1415,-,1,R2
PfDd2_08,annotation,intersect_peaks,1115137,1115816,.,.,.,ipeak_1817,680,PfDd2_080031300,PF3D7_0826100,.,-,PfDd2_080031200,PF3D7_0826000,.,2601,+,PfDd2_080031400,PF3D7_0826200,.,-26377,-,1,R2
PfDd2_08,annotation,intersect_peaks,1114647,1114932,.,.,.,ipeak_1816,286,PfDd2_080031300,PF3D7_0826100,.,-,PfDd2_080031200,PF3D7_0826000,.,2111,+,PfDd2_080031400,PF3D7_0826200,.,-27261,-,1,R2
PfDd2_08,annotation,intersect_peaks,1128175,1128444,.,.,.,ipeak_1819,270,PfDd2_080031300,PF3D7_0826100,.,-,PfDd2_080031200,PF3D7_0826000,.,15639,+,PfDd2_080031400,PF3D7_0826200,.,-13749,-,1,R2
PfDd2_05,annotation,intersect_peaks,389601,390389,.,.,.,ipeak_826,789,PfDd2_050014100,PF3D7_0509100,.,+,PfDd2_050014000,PF3D7_0509000,.,6196,-,PfDd2_050014200,PF3D7_0509200,LRR2,-1538,+,1,R2
PfDd2_05,annotation,intersect_peaks,398100,398510,.,.,.,ipeak_827,411,.,.,.,,PfDd2_050014300,PF3D7_0509300,.,3962,-,PfDd2_050014500,PF3D7_0509500,.,-7764,+,1,R2
PfDd2_04,annotation,intersect_peaks,215916,216393,.,.,.,ipeak_532,478,PfDd2_040010000,PF3D7_0404600,.,+,PfDd2_040009900,PF3D7_0404500,P52,14429,-,PfDd2_040010100,.,.,-3290,-,1,R2
PfDd2_04,annotation,intersect_peaks,218355,218640,.,.,.,ipeak_533,286,PfDd2_040010000,PF3D7_0404600,.,+,PfDd2_040009900,PF3D7_0404500,P52,16868,-,PfDd2_040010100,.,.,-1043,-,1,R2
PfDd2_12,annotation,intersect_peaks,31600,32081,.,.,.,ipeak_2977,482,PfDd2_120005600,PF3D7_1200600,.,-,PfDd2_120005500,.,.,12254,+,PfDd2_120005700,.,.,-2102,-,1,R2
PfDd2_12,annotation,intersect_peaks,25417,25875,.,.,.,ipeak_2976,459,PfDd2_120005600,PF3D7_1200600,.,-,PfDd2_120005500,.,.,6071,+,PfDd2_120005700,.,.,-8308,-,1,R2
PfDd2_08,annotation,intersect_peaks,121985,122098,.,.,.,ipeak_1619,114,.,.,.,,PfDd2_080007200,PF3D7_0801800,.,2758,-,PfDd2_080007300,PF3D7_0801900,.,-3976,+,2,R1-R4
PfDd2_13,annotation,intersect_peaks,993632,994017,.,.,.,ipeak_3646,386,.,.,.,,PfDd2_130029500,PF3D7_1323600,.,810,+,PfDd2_130029600,PF3D7_1323700,GAPM1,-1181,+,1,R1
PfDd2_13,annotation,intersect_peaks,2913888,2914201,.,.,.,ipeak_4040,314,PfDd2_130078700,.,.,+,PfDd2_130078600,.,.,10217,-,PfDd2_130078800,.,.,-3003,-,1,R2
PfDd2_13,annotation,intersect_peaks,2924223,2924602,.,.,.,ipeak_4043,380,PfDd2_130078800,.,.,-,PfDd2_130078700,.,.,8150,+,PfDd2_130078900,.,.,-4662,+,1,R2
PfDd2_08,annotation,intersect_peaks,121974,121984,.,.,.,ipeak_1618,11,.,.,.,,PfDd2_080007200,PF3D7_0801800,.,2747,-,PfDd2_080007300,PF3D7_0801900,.,-4090,+,3,R1-R2-R4
PfDd2_13,annotation,intersect_peaks,2929210,2929551,.,.,.,ipeak_4045,342,PfDd2_130078900,.,.,+,PfDd2_130078800,.,.,2211,-,PfDd2_130079000,.,.,-160,-,1,R1
PfDd2_13,annotation,intersect_peaks,2926087,2926425,.,.,.,ipeak_4044,339,PfDd2_130078800,.,.,-,PfDd2_130078700,.,.,10014,+,PfDd2_130078900,.,.,-2839,+,1,R2
PfDd2_14,annotation,intersect_peaks,16932,17181,.,.,.,ipeak_4047,250,PfDd2_140005400,PF3D7_1401000,GBPH,-,PfDd2_140005200,.,.,6826,-,PfDd2_140005500,.,.,-3878,+,1,R2
PfDd2_14,annotation,intersect_peaks,2331,2886,.,.,.,ipeak_4046,556,PfDd2_140005000,.,.,-,.,.,.,-1,,PfDd2_140005100,.,.,-2803,-,1,R2
PfDd2_14,annotation,intersect_peaks,21518,22035,.,.,.,ipeak_4049,518,PfDd2_140005500,.,.,+,PfDd2_140005400,PF3D7_1401000,GBPH,4053,-,PfDd2_140005600,PF3D7_1401100,.,-913,-,1,R2
PfDd2_08,annotation,intersect_peaks,810524,810810,.,.,.,ipeak_1756,287,PfDd2_080022900,PF3D7_0817700,RON5,-,PfDd2_080022800,PF3D7_0817600,.,5726,-,PfDd2_080023000,PF3D7_0817800,.,-5058,+,1,R2
PfDd2_14,annotation,intersect_peaks,2447673,2448006,.,.,.,ipeak_4519,334,PfDd2_140064900,PF3D7_1460500,.,+,PfDd2_140064800,PF3D7_1460400,UCHL3,5362,+,PfDd2_140065000,PF3D7_1460600,ISP3,-5024,+,1,R2
PfDd2_08,annotation,intersect_peaks,814623,815950,.,.,.,ipeak_1757,1328,PfDd2_080023000,PF3D7_0817800,.,+,PfDd2_080022900,PF3D7_0817700,RON5,445,-,PfDd2_080023100,PF3D7_0817900,HMGB2,-1542,-,1,R1
PfDd2_05,annotation,intersect_peaks,513649,514858,.,.,.,ipeak_853,1210,PfDd2_050016400,PF3D7_0511500,.,+,PfDd2_050016300,PF3D7_0511400,.,26018,+,PfDd2_050016500,PF3D7_0511600,ARNP,-7361,-,1,R2
PfDd2_05,annotation,intersect_peaks,511393,511668,.,.,.,ipeak_852,276,PfDd2_050016400,PF3D7_0511500,.,+,PfDd2_050016300,PF3D7_0511400,.,23762,+,PfDd2_050016500,PF3D7_0511600,ARNP,-10551,-,1,R5
PfDd2_05,annotation,intersect_peaks,510515,510878,.,.,.,ipeak_851,364,PfDd2_050016400,PF3D7_0511500,.,+,PfDd2_050016300,PF3D7_0511400,.,22884,+,PfDd2_050016500,PF3D7_0511600,ARNP,-11341,-,1,R2
PfDd2_05,annotation,intersect_peaks,507889,509549,.,.,.,ipeak_850,1661,PfDd2_050016400,PF3D7_0511500,.,+,PfDd2_050016300,PF3D7_0511400,.,20258,+,PfDd2_050016500,PF3D7_0511600,ARNP,-12670,-,1,R2
PfDd2_05,annotation,intersect_peaks,534912,535354,.,.,.,ipeak_857,443,PfDd2_050017100,PF3D7_0512200,GS,-,PfDd2_050017000,PF3D7_0512100,.,614,-,PfDd2_050017200,PF3D7_0512300,MAT1,-3073,-,1,R2
PfDd2_05,annotation,intersect_peaks,523018,523736,.,.,.,ipeak_856,719,.,.,.,,PfDd2_050016500,PF3D7_0511600,ARNP,203,-,PfDd2_050016600,PF3D7_0511700,CGI121,-299,+,1,R1
PfDd2_05,annotation,intersect_peaks,520101,520395,.,.,.,ipeak_855,295,PfDd2_050016400,PF3D7_0511500,.,+,PfDd2_050016300,PF3D7_0511400,.,32470,+,PfDd2_050016500,PF3D7_0511600,ARNP,-1824,-,1,R5
PfDd2_05,annotation,intersect_peaks,518668,518941,.,.,.,ipeak_854,274,PfDd2_050016400,PF3D7_0511500,.,+,PfDd2_050016300,PF3D7_0511400,.,31037,+,PfDd2_050016500,PF3D7_0511600,ARNP,-3278,-,1,R2
PfDd2_09,annotation,intersect_peaks,1078062,1078775,.,.,.,ipeak_2067,714,PfDd2_090031600,PF3D7_0926600,.,+,PfDd2_090031500,PF3D7_0926500,.,3000,-,PfDd2_090031700,PF3D7_0926700,NADSYN,-4483,+,1,R2
PfDd2_13,annotation,intersect_peaks,500267,500539,.,.,.,ipeak_3557,273,PfDd2_130017200,PF3D7_1311400,AP1M1,+,PfDd2_130017100,PF3D7_1311300,.,2141,+,PfDd2_130017300,PF3D7_1311500,RPT1,-2042,-,1,R2
PfDd2_05,annotation,intersect_peaks,557725,558153,.,.,.,ipeak_859,429,PfDd2_050017700,PF3D7_0512800,.,-,PfDd2_050017600,PF3D7_0512700,OPRT,5240,-,PfDd2_050017800,PF3D7_0512900,.,-636,+,1,R2
PfDd2_05,annotation,intersect_peaks,541115,541364,.,.,.,ipeak_858,250,PfDd2_050017300,PF3D7_0512400,.,+,PfDd2_050017200,PF3D7_0512300,MAT1,1906,-,PfDd2_050017400,PF3D7_0512500,.,-3212,-,1,R2
PfDd2_13,annotation,intersect_peaks,484403,485035,.,.,.,ipeak_3552,633,PfDd2_130016600,PF3D7_1310800,.,-,PfDd2_130016500,PF3D7_1310700,.,2917,-,PfDd2_130016700,PF3D7_1310900,.,-3914,+,1,R2
PfDd2_13,annotation,intersect_peaks,489075,489758,.,.,.,ipeak_3553,684,PfDd2_130016700,PF3D7_1310900,.,+,PfDd2_130016600,PF3D7_1310800,.,1304,-,PfDd2_130016800,PF3D7_1311000,ISD11,-395,-,1,R2
PfDd2_13,annotation,intersect_peaks,482626,482678,.,.,.,ipeak_3550,53,.,.,.,,PfDd2_130016500,PF3D7_1310700,.,1140,-,PfDd2_130016600,PF3D7_1310800,.,-746,-,2,R1-R3
PfDd2_13,annotation,intersect_peaks,482679,482964,.,.,.,ipeak_3551,286,.,.,.,,PfDd2_130016500,PF3D7_1310700,.,1193,-,PfDd2_130016600,PF3D7_1310800,.,-460,-,1,R1
PfDd2_08,annotation,intersect_peaks,571796,571884,.,.,.,ipeak_1705,89,PfDd2_080016400,PF3D7_0811300,CAF1,+,PfDd2_080016300,.,.,6593,+,PfDd2_080016500,PF3D7_0811400,.,-5065,+,1,R5
PfDd2_08,annotation,intersect_peaks,570576,571161,.,.,.,ipeak_1704,586,PfDd2_080016400,PF3D7_0811300,CAF1,+,PfDd2_080016300,.,.,5373,+,PfDd2_080016500,PF3D7_0811400,.,-5788,+,1,R5
PfDd2_08,annotation,intersect_peaks,572175,572192,.,.,.,ipeak_1707,18,PfDd2_080016400,PF3D7_0811300,CAF1,+,PfDd2_080016300,.,.,6972,+,PfDd2_080016500,PF3D7_0811400,.,-4757,+,1,R5
PfDd2_08,annotation,intersect_peaks,571885,572174,.,.,.,ipeak_1706,290,PfDd2_080016400,PF3D7_0811300,CAF1,+,PfDd2_080016300,.,.,6682,+,PfDd2_080016500,PF3D7_0811400,.,-4775,+,2,R2-R5
PfDd2_08,annotation,intersect_peaks,550160,550630,.,.,.,ipeak_1701,471,PfDd2_080015900,PF3D7_0810800,PPPK-DHPS,+,PfDd2_080015800,PF3D7_0810700,.,1859,-,PfDd2_080016000,PF3D7_0810900,.,-1471,-,1,R2
PfDd2_08,annotation,intersect_peaks,542834,543133,.,.,.,ipeak_1700,300,PfDd2_080015700,PF3D7_0810600,.,+,PfDd2_080015600,PF3D7_0810500,PPM7,5234,-,PfDd2_080015800,PF3D7_0810700,.,-3981,-,1,R2
PfDd2_08,annotation,intersect_peaks,554123,554580,.,.,.,ipeak_1703,458,.,.,.,,PfDd2_080016000,PF3D7_0810900,.,766,-,PfDd2_080016100,PF3D7_0811000,CUL1,-771,+,1,R1
PfDd2_08,annotation,intersect_peaks,550817,551187,.,.,.,ipeak_1702,371,PfDd2_080015900,PF3D7_0810800,PPPK-DHPS,+,PfDd2_080015800,PF3D7_0810700,.,2516,-,PfDd2_080016000,PF3D7_0810900,.,-914,-,1,R2
PfDd2_12,annotation,intersect_peaks,1826732,1827014,.,.,.,ipeak_3390,283,.,.,.,,PfDd2_120048800,PF3D7_1243500,SNF7,2309,-,PfDd2_120048900,PF3D7_1243600,.,-776,+,2,R1-R2
PfDd2_12,annotation,intersect_peaks,1827015,1827451,.,.,.,ipeak_3391,437,.,.,.,,PfDd2_120048800,PF3D7_1243500,SNF7,2592,-,PfDd2_120048900,PF3D7_1243600,.,-339,+,1,R1
PfDd2_12,annotation,intersect_peaks,1827801,1828068,.,.,.,ipeak_3392,268,PfDd2_120048900,PF3D7_1243600,.,+,PfDd2_120048800,PF3D7_1243500,SNF7,3378,-,PfDd2_120049000,PF3D7_1243700,.,-3421,+,1,R1
PfDd2_12,annotation,intersect_peaks,1829241,1829968,.,.,.,ipeak_3393,728,.,.,.,,PfDd2_120048900,PF3D7_1243600,.,524,+,PfDd2_120049000,PF3D7_1243700,.,-1521,+,1,R1
PfDd2_08,annotation,intersect_peaks,585832,586126,.,.,.,ipeak_1709,295,PfDd2_080016700,PF3D7_0811600,.,-,PfDd2_080016600,PF3D7_0811500,CARM1,2664,+,PfDd2_080016800,PF3D7_0811700,.,-4192,+,1,R2
PfDd2_08,annotation,intersect_peaks,578229,578561,.,.,.,ipeak_1708,333,PfDd2_080016500,PF3D7_0811400,.,+,PfDd2_080016400,PF3D7_0811300,CAF1,4164,+,PfDd2_080016600,PF3D7_0811500,CARM1,-1875,+,1,R2
PfDd2_12,annotation,intersect_peaks,1839867,1840184,.,.,.,ipeak_3396,318,PfDd2_120049200,PF3D7_1243900,DOC2,-,PfDd2_120049100,PF3D7_1243800,WDR82,5011,-,PfDd2_120049300,PF3D7_1244000,.,-4235,-,1,R2
PfDd2_12,annotation,intersect_peaks,1840678,1841066,.,.,.,ipeak_3397,389,PfDd2_120049200,PF3D7_1243900,DOC2,-,PfDd2_120049100,PF3D7_1243800,WDR82,5822,-,PfDd2_120049300,PF3D7_1244000,.,-3353,-,1,R2
PfDd2_14,annotation,intersect_peaks,223811,224135,.,.,.,ipeak_4068,325,PfDd2_140011200,PF3D7_1406600,ClpC,+,PfDd2_140011100,PF3D7_1406500,WDR65,4812,-,PfDd2_140011300,PF3D7_1406700,VPS29,-2005,+,1,R2
PfDd2_12,annotation,intersect_peaks,2000074,2000776,.,.,.,ipeak_3421,703,PfDd2_120053900,PF3D7_1248700,.,+,PfDd2_120053800,PF3D7_1248600,.,7277,+,PfDd2_120054000,PF3D7_1248800,.,-3291,+,1,R2
PfDd2_12,annotation,intersect_peaks,1382569,1382894,.,.,.,ipeak_3282,326,PfDd2_120038400,PF3D7_1233600,AARP1,+,PfDd2_120038300,PF3D7_1233400,.,16179,-,PfDd2_120038500,PF3D7_1233700,.,-4209,+,1,R2
PfDd2_12,annotation,intersect_peaks,1383887,1384136,.,.,.,ipeak_3283,250,PfDd2_120038400,PF3D7_1233600,AARP1,+,PfDd2_120038300,PF3D7_1233400,.,17497,-,PfDd2_120038500,PF3D7_1233700,.,-2967,+,1,R2
PfDd2_12,annotation,intersect_peaks,464985,465608,.,.,.,ipeak_3066,624,PfDd2_120015800,PF3D7_1211000,.,+,PfDd2_120015700,PF3D7_1210900,PIGM,5014,+,PfDd2_120015900,PF3D7_1211100,.,-2413,+,1,R2
PfDd2_14,annotation,intersect_peaks,2797255,2797549,.,.,.,ipeak_4609,295,.,.,.,,PfDd2_140072800,PF3D7_1468500,DER1-1,4244,-,PfDd2_140073000,PF3D7_1468700,eIF4A,-6403,+,1,R5
PfDd2_13,annotation,intersect_peaks,1762111,1762413,.,.,.,ipeak_3829,303,PfDd2_130049600,PF3D7_1343800,.,-,PfDd2_130049500,PF3D7_1343700,K13,23635,-,PfDd2_130049700,PF3D7_1343900,PRPF4,-5286,+,1,R2
PfDd2_14,annotation,intersect_peaks,487605,488116,.,.,.,ipeak_4146,512,PfDd2_140017100,PF3D7_1412500,ACT2,+,PfDd2_140017000,PF3D7_1412400,.,2928,-,PfDd2_140017200,PF3D7_1412600,DHS,-1882,-,1,R2
PfDd2_13,annotation,intersect_peaks,2624605,2625076,.,.,.,ipeak_3997,472,PfDd2_130070700,PF3D7_1365000,.,+,PfDd2_130070600,PF3D7_1364900,FC,1045,-,PfDd2_130070800,PF3D7_1365100,.,-377,-,1,R2
PfDd2_14,annotation,intersect_peaks,2785088,2785102,.,.,.,ipeak_4602,15,.,.,.,,PfDd2_140072600,PF3D7_1468300,LRR14.1,1783,+,PfDd2_140072700,PF3D7_1468400,D13,-3022,+,2,R1-R3
PfDd2_14,annotation,intersect_peaks,2784422,2785087,.,.,.,ipeak_4601,666,.,.,.,,PfDd2_140072600,PF3D7_1468300,LRR14.1,1117,+,PfDd2_140072700,PF3D7_1468400,D13,-3037,+,1,R1
PfDd2_12,annotation,intersect_peaks,1381162,1381460,.,.,.,ipeak_3281,299,PfDd2_120038400,PF3D7_1233600,AARP1,+,PfDd2_120038300,PF3D7_1233400,.,14772,-,PfDd2_120038500,PF3D7_1233700,.,-5643,+,1,R2
PfDd2_14,annotation,intersect_peaks,2785708,2786042,.,.,.,ipeak_4607,335,.,.,.,,PfDd2_140072600,PF3D7_1468300,LRR14.1,2403,+,PfDd2_140072700,PF3D7_1468400,D13,-2082,+,1,R1
PfDd2_14,annotation,intersect_peaks,2785687,2785707,.,.,.,ipeak_4606,21,.,.,.,,PfDd2_140072600,PF3D7_1468300,LRR14.1,2382,+,PfDd2_140072700,PF3D7_1468400,D13,-2417,+,2,R1-R3
PfDd2_14,annotation,intersect_peaks,2785598,2785686,.,.,.,ipeak_4605,89,.,.,.,,PfDd2_140072600,PF3D7_1468300,LRR14.1,2293,+,PfDd2_140072700,PF3D7_1468400,D13,-2438,+,3,R1-R2-R3
PfDd2_14,annotation,intersect_peaks,2785340,2785597,.,.,.,ipeak_4604,258,.,.,.,,PfDd2_140072600,PF3D7_1468300,LRR14.1,2035,+,PfDd2_140072700,PF3D7_1468400,D13,-2527,+,4,R1-R2-R3-R4
PfDd2_08,annotation,intersect_peaks,777528,778155,.,.,.,ipeak_1747,628,PfDd2_080022300,PF3D7_0817100,.,+,PfDd2_080022200,PF3D7_0817000,.,2709,+,PfDd2_080022400,PF3D7_0817200,.,-155,-,1,R1
PfDd2_10,annotation,intersect_peaks,1114264,1114659,.,.,.,ipeak_2459,396,PfDd2_100032500,PF3D7_1027200,.,+,PfDd2_100032400,PF3D7_1027100,MPP10,1681,-,PfDd2_100032600,PF3D7_1027300,nPrx,-2374,-,1,R2
PfDd2_11,annotation,intersect_peaks,1813088,1813487,.,.,.,ipeak_2952,400,PfDd2_110050600,PF3D7_1147800,MAEBL,+,PfDd2_110050500,PF3D7_1147700,.,2203,+,PfDd2_110050700,PF3D7_1147900,.,-6522,-,1,R2
PfDd2_12,annotation,intersect_peaks,461972,463451,.,.,.,ipeak_3063,1480,PfDd2_120015800,PF3D7_1211000,.,+,PfDd2_120015700,PF3D7_1210900,PIGM,2001,+,PfDd2_120015900,PF3D7_1211100,.,-4570,+,1,R2
PfDd2_05,annotation,intersect_peaks,915590,915943,.,.,.,ipeak_927,354,PfDd2_050027300,PF3D7_0522400,.,+,PfDd2_050027200,PF3D7_0522300,.,5888,-,PfDd2_050027400,PF3D7_0522500,RPL17,-26168,+,1,R5
PfDd2_05,annotation,intersect_peaks,910897,911523,.,.,.,ipeak_926,627,.,.,.,,PfDd2_050027200,PF3D7_0522300,.,1195,-,PfDd2_050027300,PF3D7_0522400,.,-1190,+,1,R1
PfDd2_05,annotation,intersect_peaks,894679,894953,.,.,.,ipeak_925,275,PfDd2_050026800,PF3D7_0521900,.,+,PfDd2_050026700,.,.,1405,+,PfDd2_050026900,PF3D7_0522000,.,-5898,+,1,R2
PfDd2_05,annotation,intersect_peaks,889227,889529,.,.,.,ipeak_924,303,PfDd2_050026600,PF3D7_0521700,.,+,PfDd2_050026500,PF3D7_0521600,.,3825,-,PfDd2_050026700,.,.,-1209,+,1,R2
