seqid,source,type,start,stop,score,strand,phase,name,length,overlap_id,overlap_ortho_id,overlap_name,overlap_strand,left_hand_id,left_hand_ortho,left_hand_name,left_hand_dist,left_hand_strand,right_hand_id,right_hand_ortho,right_hand_name,right_hand_dist,right_hand_strand,pbm_motifs,dreme_motifs,p-value,q-value
PfDd2_02,annotation,macs2_peak,201547,201547,1129,.,.,ap2i_r1_gfp_peak_18,1,.,.,.,,PfDd2_020010400,PF3D7_0207600,.,492,-,PfDd2_020010500,PF3D7_0207700,.,-1327,-,,,116.23537,112.90683
PfDd2_02,annotation,macs2_peak,206762,206762,114,.,.,ap2i_r1_gfp_peak_19,1,.,.,.,,PfDd2_020010500,PF3D7_0207700,.,580,-,PfDd2_020010600,PF3D7_0207800,.,-680,-,,,13.56760,11.48765
PfDd2_02,annotation,macs2_peak,220035,220035,65,.,.,ap2i_r1_gfp_peak_20a,1,.,.,.,,PfDd2_020010800,PF3D7_0208000,.,332,-,PfDd2_020010900,PF3D7_0208100,.,-1869,+,,,8.46583,6.52889
PfDd2_02,annotation,macs2_peak,220285,220285,91,.,.,ap2i_r1_gfp_peak_20b,1,.,.,.,,PfDd2_020010800,PF3D7_0208000,.,582,-,PfDd2_020010900,PF3D7_0208100,.,-1619,+,,,11.14631,9.12724
PfDd2_02,annotation,macs2_peak,245330,245330,78,.,.,ap2i_r1_gfp_peak_21,1,.,.,.,,PfDd2_020011200,.,.,2106,-,PfDd2_020011300,PF3D7_0208500,ACP,-1407,+,,,9.79555,7.81461
PfDd2_02,annotation,macs2_peak,293232,293232,309,.,.,ap2i_r1_gfp_peak_22,1,.,.,.,,PfDd2_020012400,PF3D7_0209600,.,613,-,PfDd2_020012500,PF3D7_0209700,.,-745,-,,,33.39117,30.99917
PfDd2_02,annotation,macs2_peak,361079,361079,451,.,.,ap2i_r1_gfp_peak_23,1,.,.,.,,PfDd2_020014100,PF3D7_0211500,.,634,+,PfDd2_020014200,PF3D7_0211600,.,-306,+,,,47.66769,45.10559
PfDd2_02,annotation,macs2_peak,406598,406598,81,.,.,ap2i_r1_gfp_peak_24,1,PfDd2_020015100,PF3D7_0212500,.,+,PfDd2_020015000,PF3D7_0212400,.,5103,-,PfDd2_020015200,PF3D7_0212600,SPATR,-9808,+,,,10.11443,8.12607
PfDd2_02,annotation,macs2_peak,425607,425607,211,.,.,ap2i_r1_gfp_peak_25a,1,.,.,.,,PfDd2_020015400,PF3D7_0212800,.,331,+,PfDd2_020015500,PF3D7_0212900,.,-994,+,,,23.41833,21.16331
PfDd2_02,annotation,macs2_peak,425881,425881,13,.,.,ap2i_r1_gfp_peak_25b,1,.,.,.,,PfDd2_020015400,PF3D7_0212800,.,605,+,PfDd2_020015500,PF3D7_0212900,.,-720,+,,,3.03587,1.39699
PfDd2_02,annotation,macs2_peak,425924,425924,16,.,.,ap2i_r1_gfp_peak_25c,1,.,.,.,,PfDd2_020015400,PF3D7_0212800,.,648,+,PfDd2_020015500,PF3D7_0212900,.,-677,+,,,3.29209,1.62264
PfDd2_02,annotation,macs2_peak,460775,460775,17,.,.,ap2i_r1_gfp_peak_26,1,PfDd2_020016600,.,.,+,PfDd2_020016500,PF3D7_0213900,.,2818,-,PfDd2_020016700,.,.,-1118,-,,,3.43799,1.74741
PfDd2_02,annotation,macs2_peak,471952,471952,65,.,.,ap2i_r1_gfp_peak_27,1,.,.,.,,PfDd2_020016800,.,.,2523,-,PfDd2_020016900,PF3D7_0214300,.,-132,+,,,8.44878,6.51206
PfDd2_02,annotation,macs2_peak,495694,495694,153,.,.,ap2i_r1_gfp_peak_28,1,.,.,.,,PfDd2_020017300,PF3D7_0214700,.,627,-,PfDd2_020017400,PF3D7_0214800,.,-2759,+,,,17.51980,15.36370
PfDd2_02,annotation,macs2_peak,503397,503397,107,.,.,ap2i_r1_gfp_peak_29,1,.,.,.,,PfDd2_020017400,PF3D7_0214800,.,757,+,PfDd2_020017500,.,.,-556,+,,,12.81936,10.75731
PfDd2_02,annotation,macs2_peak,526353,526353,82,.,.,ap2i_r1_gfp_peak_30,1,.,.,.,,PfDd2_020018000,PF3D7_0215300,.,1717,-,PfDd2_020018100,PF3D7_0215400,.,-1494,-,,,10.23712,8.24337
PfDd2_02,annotation,macs2_peak,578769,578769,283,.,.,ap2i_r1_gfp_peak_31,1,.,.,.,,PfDd2_020019200,PF3D7_0216500,.,1692,+,PfDd2_020019300,PF3D7_0216600,.,-1062,+,,,30.67290,28.31241
PfDd2_02,annotation,macs2_peak,612525,612525,681,.,.,ap2i_r1_gfp_peak_32,1,.,.,.,,PfDd2_020020100,PF3D7_0217400,.,762,+,PfDd2_020020200,PF3D7_0217500,CDPK1,-1348,+,,,70.96729,68.16941
PfDd2_02,annotation,macs2_peak,615769,615769,107,.,.,ap2i_r1_gfp_peak_33,1,PfDd2_020020200,PF3D7_0217500,CDPK1,+,PfDd2_020020100,PF3D7_0217400,.,4006,+,PfDd2_020020300,PF3D7_0217600,.,-1342,-,,,12.81936,10.75731
PfDd2_02,annotation,macs2_peak,631301,631301,90,.,.,ap2i_r1_gfp_peak_34,1,.,.,.,,PfDd2_020020600,PF3D7_0217900,.,1033,-,PfDd2_020020700,PF3D7_0218000,RFC2,-827,+,,,11.03054,9.01643
PfDd2_02,annotation,macs2_peak,634838,634838,22,.,.,ap2i_r1_gfp_peak_35,1,PfDd2_020020800,PF3D7_0218100,.,+,PfDd2_020020700,PF3D7_0218000,RFC2,1718,+,PfDd2_020020900,PF3D7_0218200,.,-1728,-,,,3.98426,2.24815
PfDd2_02,annotation,macs2_peak,682278,682278,114,.,.,ap2i_r1_gfp_peak_36,1,.,.,.,,PfDd2_020022500,PF3D7_0219800,.,1165,-,PfDd2_020022600,PF3D7_0219900,.,-2295,+,,,13.56760,11.48765
PfDd2_02,annotation,macs2_peak,687095,687095,43,.,.,ap2i_r1_gfp_peak_37a,1,.,.,.,,PfDd2_020022600,PF3D7_0219900,.,1629,+,PfDd2_020022700,PF3D7_0220000,LSA3,-2721,+,,,6.22730,4.37207
PfDd2_02,annotation,macs2_peak,687506,687506,92,.,.,ap2i_r1_gfp_peak_37b,1,.,.,.,,PfDd2_020022600,PF3D7_0219900,.,2040,+,PfDd2_020022700,PF3D7_0220000,LSA3,-2310,+,,,11.25606,9.23577
PfDd2_02,annotation,macs2_peak,704632,704632,147,.,.,ap2i_r1_gfp_peak_38,1,.,.,.,,PfDd2_020022900,.,.,1068,-,PfDd2_020023000,.,.,-2361,-,,,16.92177,14.77605
PfDd2_02,annotation,macs2_peak,709411,709411,211,.,.,ap2i_r1_gfp_peak_39,1,.,.,.,,PfDd2_020023000,.,.,1600,-,PfDd2_020023100,.,.,-4177,+,,,23.45378,21.19860
PfDd2_02,annotation,macs2_peak,731075,731075,1387,.,.,ap2i_r1_gfp_peak_40,1,.,.,.,,PfDd2_020023400,PF3D7_0220700,.,3726,+,PfDd2_020023500,PF3D7_0220800,.,-402,+,,,142.80846,138.79860
PfDd2_02,annotation,macs2_peak,805735,805735,145,.,.,ap2i_r1_gfp_peak_41,1,.,.,.,,PfDd2_020025400,.,.,2358,-,PfDd2_020025500,.,.,-11764,+,,,16.74228,14.59790
PfDd2_02,annotation,macs2_peak,850077,850077,40,.,.,ap2i_r1_gfp_peak_42,1,.,.,.,,PfDd2_020026600,.,.,1383,+,PfDd2_020026700,.,.,-987,-,,,5.87748,4.03773
PfDd2_03,annotation,macs2_peak,7539,7539,29,.,.,ap2i_r1_gfp_peak_43a,1,.,.,.,,PfDd2_030005000,.,.,3135,+,PfDd2_030005100,.,.,-8743,+,,,4.72967,2.94645
PfDd2_03,annotation,macs2_peak,8028,8028,37,.,.,ap2i_r1_gfp_peak_43b,1,.,.,.,,PfDd2_030005000,.,.,3624,+,PfDd2_030005100,.,.,-8254,+,,,5.54702,3.72262
PfDd2_03,annotation,macs2_peak,45872,45872,17,.,.,ap2i_r1_gfp_peak_44,1,PfDd2_030005800,PF3D7_1100400,RIF,+,PfDd2_030005700,.,.,2885,+,PfDd2_030005900,PF3D7_0300900,.,-2331,+,,,3.44421,1.75320
PfDd2_03,annotation,macs2_peak,80518,80518,52,.,.,ap2i_r1_gfp_peak_45,1,.,.,.,,PfDd2_030006700,PF3D7_0301700,.,2249,-,PfDd2_030006800,PF3D7_0301800,.,-4192,+,,,7.14429,5.25208
PfDd2_03,annotation,macs2_peak,82341,82341,657,.,.,ap2i_r1_gfp_peak_46,1,.,.,.,,PfDd2_030006700,PF3D7_0301700,.,4072,-,PfDd2_030006800,PF3D7_0301800,.,-2369,+,,,68.54698,65.77112
PfDd2_03,annotation,macs2_peak,99294,99294,115,.,.,ap2i_r1_gfp_peak_47,1,.,.,.,,PfDd2_030007100,PF3D7_0302100,SRPK1,873,+,PfDd2_030007200,PF3D7_0302200,.,-518,+,,,13.65652,11.57554
PfDd2_03,annotation,macs2_peak,114207,114207,1435,.,.,ap2i_r1_gfp_peak_48a,1,.,.,.,,PfDd2_030007400,.,.,5434,-,PfDd2_030007500,PF3D7_0302500,.,-1562,+,,,148.42387,143.58755
PfDd2_03,annotation,macs2_peak,114836,114836,1431,.,.,ap2i_r1_gfp_peak_48b,1,.,.,.,,PfDd2_030007400,.,.,6063,-,PfDd2_030007500,PF3D7_0302500,.,-933,+,,,147.39732,143.16992
PfDd2_03,annotation,macs2_peak,116212,116212,13,.,.,ap2i_r1_gfp_peak_48c,1,PfDd2_030007500,PF3D7_0302500,.,+,PfDd2_030007400,.,.,7439,-,PfDd2_030007600,PF3D7_0302600,ABCB4,-5672,+,,,3.01204,1.37519
PfDd2_03,annotation,macs2_peak,149132,149132,35,.,.,ap2i_r1_gfp_peak_49,1,.,.,.,,PfDd2_030008100,PF3D7_0303100,.,1701,-,PfDd2_030008200,PF3D7_0303200,.,-804,+,,,5.37083,3.55464
PfDd2_03,annotation,macs2_peak,183161,183161,44,.,.,ap2i_r1_gfp_peak_50,1,.,.,.,,PfDd2_030009000,PF3D7_0304000,IMC1a,1258,-,PfDd2_030009100,PF3D7_0304100,IMC1e,-1682,+,,,6.30612,4.44945
PfDd2_03,annotation,macs2_peak,184006,184006,47,.,.,ap2i_r1_gfp_peak_51,1,.,.,.,,PfDd2_030009000,PF3D7_0304000,IMC1a,2103,-,PfDd2_030009100,PF3D7_0304100,IMC1e,-837,+,,,6.58671,4.71623
PfDd2_03,annotation,macs2_peak,230476,230476,538,.,.,ap2i_r1_gfp_peak_52,1,.,.,.,,PfDd2_030010100,PF3D7_0305100,.,1594,-,PfDd2_030010200,PF3D7_0305200,.,-1379,+,,,56.53763,53.87584
PfDd2_03,annotation,macs2_peak,335770,335770,221,.,.,ap2i_r1_gfp_peak_53,1,.,.,.,,PfDd2_030013000,PF3D7_0308000,.,644,+,PfDd2_030013100,PF3D7_0308100,.,-659,+,,,24.40284,22.13210
PfDd2_03,annotation,macs2_peak,347926,347926,213,.,.,ap2i_r1_gfp_peak_54,1,.,.,.,,PfDd2_030013300,PF3D7_0308300,.,1271,-,PfDd2_030013400,.,.,-646,+,,,23.59627,21.33676
PfDd2_03,annotation,macs2_peak,426158,426158,117,.,.,ap2i_r1_gfp_peak_55,1,.,.,.,,PfDd2_030015300,.,.,262,+,PfDd2_030015400,PF3D7_0310400,PIESP1,-782,+,,,13.82113,11.73539
PfDd2_03,annotation,macs2_peak,431405,431405,193,.,.,ap2i_r1_gfp_peak_56,1,.,.,.,,PfDd2_030015400,PF3D7_0310400,PIESP1,590,+,PfDd2_030015500,PF3D7_0310500,.,-319,-,,,21.57775,19.35322
PfDd2_03,annotation,macs2_peak,507132,507132,80,.,.,ap2i_r1_gfp_peak_57,1,.,.,.,,PfDd2_030017400,PF3D7_0312400,GSK3,987,-,PfDd2_030017500,PF3D7_0312500,.,-1608,+,,,10.01523,8.02792
PfDd2_03,annotation,macs2_peak,583595,583595,111,.,.,ap2i_r1_gfp_peak_58,1,.,.,.,,PfDd2_030019700,PF3D7_0314700,.,11400,-,PfDd2_030019800,PF3D7_0314800,.,-554,+,,,13.22756,11.15769
PfDd2_03,annotation,macs2_peak,639095,639095,37,.,.,ap2i_r1_gfp_peak_59,1,PfDd2_030021300,PF3D7_0316300,.,+,PfDd2_030021200,PF3D7_0316200,.,2271,-,PfDd2_030021400,PF3D7_0316400,.,-2539,-,,,5.54794,3.72344
PfDd2_03,annotation,macs2_peak,645687,645687,55,.,.,ap2i_r1_gfp_peak_60,1,.,.,.,,PfDd2_030021400,PF3D7_0316400,.,1063,-,PfDd2_030021500,PF3D7_0316500,NUF2,-735,+,,,7.45979,5.55864
PfDd2_03,annotation,macs2_peak,676154,676154,511,.,.,ap2i_r1_gfp_peak_61a,1,.,.,.,,PfDd2_030022300,.,.,612,+,PfDd2_030022400,PF3D7_0317300,.,-2679,-,,,53.79826,51.16592
PfDd2_03,annotation,macs2_peak,676642,676642,117,.,.,ap2i_r1_gfp_peak_61b,1,.,.,.,,PfDd2_030022300,.,.,1100,+,PfDd2_030022400,PF3D7_0317300,.,-2191,-,,,13.82113,11.73539
PfDd2_03,annotation,macs2_peak,677592,677592,695,.,.,ap2i_r1_gfp_peak_62a,1,.,.,.,,PfDd2_030022300,.,.,2050,+,PfDd2_030022400,PF3D7_0317300,.,-1241,-,,,72.40806,69.59880
PfDd2_03,annotation,macs2_peak,678130,678130,128,.,.,ap2i_r1_gfp_peak_62b,1,.,.,.,,PfDd2_030022300,.,.,2588,+,PfDd2_030022400,PF3D7_0317300,.,-703,-,,,14.99386,12.88471
PfDd2_03,annotation,macs2_peak,841364,841364,69,.,.,ap2i_r1_gfp_peak_63,1,.,.,.,,PfDd2_030025600,PF3D7_0320500,Nico,368,+,PfDd2_030025700,PF3D7_0320600,.,-269,-,,,8.93891,6.98382
PfDd2_03,annotation,macs2_peak,847330,847330,19,.,.,ap2i_r1_gfp_peak_64,1,.,.,.,,PfDd2_030025800,PF3D7_0320700,SPC2,1970,+,PfDd2_030025900,PF3D7_0320800,DOZI,-2379,+,,,3.67971,1.97209
PfDd2_03,annotation,macs2_peak,851579,851579,300,.,.,ap2i_r1_gfp_peak_65,1,.,.,.,,PfDd2_030025900,PF3D7_0320800,DOZI,333,+,PfDd2_030026000,PF3D7_0320900,H2A.Z,-2505,+,,,32.46579,30.08346
PfDd2_03,annotation,macs2_peak,852328,852328,50,.,.,ap2i_r1_gfp_peak_66a,1,.,.,.,,PfDd2_030025900,PF3D7_0320800,DOZI,1082,+,PfDd2_030026000,PF3D7_0320900,H2A.Z,-1756,+,,,6.95555,5.07046
PfDd2_03,annotation,macs2_peak,852978,852978,958,.,.,ap2i_r1_gfp_peak_66b,1,.,.,.,,PfDd2_030025900,PF3D7_0320800,DOZI,1732,+,PfDd2_030026000,PF3D7_0320900,H2A.Z,-1106,+,,,99.01027,95.89010
PfDd2_03,annotation,macs2_peak,853421,853421,145,.,.,ap2i_r1_gfp_peak_66c,1,.,.,.,,PfDd2_030025900,PF3D7_0320800,DOZI,2175,+,PfDd2_030026000,PF3D7_0320900,H2A.Z,-663,+,,,16.74228,14.59790
PfDd2_03,annotation,macs2_peak,872537,872537,239,.,.,ap2i_r1_gfp_peak_67,1,.,.,.,,PfDd2_030026400,PF3D7_0321300,.,1064,-,PfDd2_030026500,PF3D7_0321400,.,-915,+,,,26.20375,23.90379
PfDd2_03,annotation,macs2_peak,972944,972944,33,.,.,ap2i_r1_gfp_peak_68,1,.,.,.,,PfDd2_030028800,PF3D7_0323700,SART1,1216,-,PfDd2_030028900,PF3D7_0323800,.,-3799,+,,,5.16711,3.36448
PfDd2_04,annotation,macs2_peak,134139,134139,100,.,.,ap2i_r1_gfp_peak_69,1,PfDd2_040008400,.,.,+,PfDd2_040008300,PF3D7_0402900,.,1917,-,PfDd2_040008500,PF3D7_0403100,.,-529,-,,,12.08972,10.04560
PfDd2_04,annotation,macs2_peak,159658,159658,107,.,.,ap2i_r1_gfp_peak_70,1,PfDd2_040009000,PF3D7_0403600,.,-,PfDd2_040008900,PF3D7_0403500,.,3592,+,PfDd2_040009100,PF3D7_0403700,CLF1,-5817,-,,,12.77613,10.71826
PfDd2_04,annotation,macs2_peak,175254,175254,14,.,.,ap2i_r1_gfp_peak_71,1,.,.,.,,PfDd2_040009200,PF3D7_0403800,.,2152,-,PfDd2_040009300,PF3D7_0403900,SET8,-3073,+,,,3.04789,1.40083
PfDd2_04,annotation,macs2_peak,177160,177160,78,.,.,ap2i_r1_gfp_peak_72,1,.,.,.,,PfDd2_040009200,PF3D7_0403800,.,4058,-,PfDd2_040009300,PF3D7_0403900,SET8,-1167,+,,,9.79555,7.81461
PfDd2_04,annotation,macs2_peak,203713,203713,91,.,.,ap2i_r1_gfp_peak_73,1,.,.,.,,PfDd2_040009900,PF3D7_0404500,P52,2226,-,PfDd2_040010000,PF3D7_0404600,.,-3110,+,,,11.14631,9.12724
PfDd2_04,annotation,macs2_peak,223178,223178,481,.,.,ap2i_r1_gfp_peak_74,1,.,.,.,,PfDd2_040010100,.,.,571,-,PfDd2_040010200,.,.,-287,-,,,50.78902,48.19167
PfDd2_04,annotation,macs2_peak,224596,224596,145,.,.,ap2i_r1_gfp_peak_75,1,PfDd2_040010200,.,.,-,PfDd2_040010100,.,.,1989,-,PfDd2_040010300,.,.,-1994,-,,,16.74228,14.59790
PfDd2_04,annotation,macs2_peak,228732,228732,143,.,.,ap2i_r1_gfp_peak_76,1,PfDd2_040010400,.,.,-,PfDd2_040010300,.,.,1006,-,PfDd2_040010500,.,.,-2847,-,,,16.48066,14.34102
PfDd2_04,annotation,macs2_peak,239206,239206,22,.,.,ap2i_r1_gfp_peak_77,1,PfDd2_040010600,.,.,+,PfDd2_040010500,.,.,3087,-,PfDd2_040010700,PF3D7_0405300,LISP2,-2587,-,,,3.95210,2.22246
PfDd2_04,annotation,macs2_peak,279419,279419,705,.,.,ap2i_r1_gfp_peak_78,1,.,.,.,,PfDd2_040011300,PF3D7_0405900,ASP,733,-,PfDd2_040011400,PF3D7_0406000,.,-1128,+,,,73.41776,70.59639
PfDd2_04,annotation,macs2_peak,297727,297727,287,.,.,ap2i_r1_gfp_peak_79,1,PfDd2_040011800,PF3D7_0406500,.,-,PfDd2_040011700,PF3D7_0406400,cGloII,4403,+,PfDd2_040011900,.,.,-8145,+,,,31.10533,28.74032
PfDd2_04,annotation,macs2_peak,343616,343616,676,.,.,ap2i_r1_gfp_peak_80,1,.,.,.,,PfDd2_040013000,.,.,900,-,PfDd2_040013100,PF3D7_0407800,.,-927,+,,,70.39650,67.60646
PfDd2_04,annotation,macs2_peak,355256,355256,31,.,.,ap2i_r1_gfp_peak_81,1,.,.,.,,PfDd2_040013300,.,.,1132,-,PfDd2_040013400,PF3D7_0408100,.,-1595,+,,,4.92940,3.13683
PfDd2_04,annotation,macs2_peak,418675,418675,904,.,.,ap2i_r1_gfp_peak_82,1,.,.,.,,PfDd2_040015000,PF3D7_0409700,.,1243,+,PfDd2_040015100,PF3D7_0409800,.,-448,+,,,93.52093,90.46636
PfDd2_04,annotation,macs2_peak,444936,444936,299,.,.,ap2i_r1_gfp_peak_83,1,.,.,.,,PfDd2_040016000,PF3D7_0410700,RbgA,1129,-,PfDd2_040016100,PF3D7_0410800,.,-751,+,,,32.29910,29.92028
PfDd2_04,annotation,macs2_peak,463575,463575,37,.,.,ap2i_r1_gfp_peak_84,1,PfDd2_040016300,PF3D7_0411000,.,+,PfDd2_040016200,PF3D7_0410900,.,10294,-,PfDd2_040016400,PF3D7_0411100,.,-743,-,,,5.58999,3.76470
PfDd2_04,annotation,macs2_peak,614010,614010,177,.,.,ap2i_r1_gfp_peak_85,1,.,.,.,,PfDd2_040020000,PF3D7_0414800,.,1117,-,PfDd2_040020100,PF3D7_0414900,ARO,-846,+,,,19.91255,17.71360
PfDd2_04,annotation,macs2_peak,628877,628877,63,.,.,ap2i_r1_gfp_peak_86,1,.,.,.,,PfDd2_040020400,PF3D7_0415200,.,907,-,PfDd2_040020500,PF3D7_0415300,CRK3,-1742,+,,,8.29560,6.36511
PfDd2_04,annotation,macs2_peak,654660,654660,133,.,.,ap2i_r1_gfp_peak_87,1,.,.,.,,PfDd2_040021200,PF3D7_0416000,.,1736,-,PfDd2_040021300,PF3D7_0416100,GATA,-626,+,,,15.45790,13.33837
PfDd2_04,annotation,macs2_peak,677550,677550,13,.,.,ap2i_r1_gfp_peak_88a,1,.,.,.,,PfDd2_040021900,PF3D7_0416700,.,761,-,PfDd2_040022000,PF3D7_0416800,SAR1,-1193,+,,,2.93894,1.30655
PfDd2_04,annotation,macs2_peak,678046,678046,77,.,.,ap2i_r1_gfp_peak_88b,1,.,.,.,,PfDd2_040021900,PF3D7_0416700,.,1257,-,PfDd2_040022000,PF3D7_0416800,SAR1,-697,+,,,9.74130,7.76467
PfDd2_04,annotation,macs2_peak,685822,685822,165,.,.,ap2i_r1_gfp_peak_89,1,PfDd2_040022100,PF3D7_0416900,.,-,PfDd2_040022000,PF3D7_0416800,SAR1,5791,+,PfDd2_040022200,PF3D7_0417000,.,-5275,+,,,18.68123,16.50484
PfDd2_04,annotation,macs2_peak,776240,776240,148,.,.,ap2i_r1_gfp_peak_90,1,.,.,.,,PfDd2_040023500,PF3D7_0418300,.,4902,-,PfDd2_040023600,PF3D7_0418400,.,-2684,+,,,17.01966,14.87038
PfDd2_04,annotation,macs2_peak,776809,776809,27,.,.,ap2i_r1_gfp_peak_91,1,.,.,.,,PfDd2_040023500,PF3D7_0418300,.,5471,-,PfDd2_040023600,PF3D7_0418400,.,-2115,+,,,4.54330,2.77450
